Cell	Phase	Subpopulation
SRR13906403.bam	G1	3
SRR13906404.bam	S	1
SRR13906405.bam	G1	2
SRR13906407.bam	S	1
SRR13906409.bam	G1	1
SRR13906410.bam	G1	1
SRR13906411.bam	G1	1
SRR13906412.bam	G1	2
SRR13906413.bam	G1	2
SRR13906414.bam	G1	2
SRR13906416.bam	G1	1
SRR13906417.bam	G1	2
SRR13906418.bam	G1	1
SRR13906419.bam	G1	3
SRR13906420.bam	G1	1
SRR13906421.bam	S	1
SRR13906422.bam	G1	1
SRR13906423.bam	G1	3
SRR13906424.bam	G1	1
SRR13906425.bam	G1	1
SRR13906426.bam	G1	1
SRR13906429.bam	G1	2
SRR13906430.bam	G1	1
SRR13906431.bam	S	1
SRR13906432.bam	G1	3
SRR13906433.bam	G1	3
SRR13906434.bam	S	2
SRR13906435.bam	G1	1
SRR13906436.bam	G1	1
SRR13906437.bam	G1	2
SRR13906438.bam	G1	1
SRR13906440.bam	G1	3
SRR13906441.bam	G1	2
SRR13906442.bam	S	3
SRR13906443.bam	G1	1
SRR13906444.bam	G1	1
SRR13906445.bam	G1	1
SRR13906446.bam	G1	1
SRR13906447.bam	G1	1
SRR13906448.bam	S	2
SRR13906449.bam	G1	1
SRR13906450.bam	G1	2
SRR13906451.bam	G1	2
SRR13906452.bam	G1	1
SRR13906454.bam	S	1
SRR13906455.bam	G1	1
SRR13906457.bam	G1	2
SRR13906458.bam	G1	1
SRR13906460.bam	G1	1
SRR13906461.bam	S	1
SRR13906462.bam	G1	3
SRR13906463.bam	G1	1
SRR13906464.bam	G1	1
SRR13906465.bam	G1	1
SRR13906466.bam	G1	2
SRR13906467.bam	G1	1
SRR13906468.bam	G1	1
SRR13906469.bam	G1	1
SRR13906470.bam	S	1
SRR13906472.bam	G1	2
SRR13906473.bam	S	3
SRR13906474.bam	S	1
SRR13906475.bam	G1	3
SRR13906476.bam	G1	2
SRR13906477.bam	G1	3
SRR13906478.bam	G1	1
SRR13906479.bam	G1	1
SRR13906480.bam	G1	1
SRR13906481.bam	G1	1
SRR13906482.bam	S	2
SRR13906483.bam	G1	1
SRR13906484.bam	G1	2
SRR13906485.bam	G1	1
SRR13906486.bam	G1	2
SRR13906487.bam	G1	1
SRR13906488.bam	G1	1
SRR13906489.bam	G1	1
SRR13906490.bam	G1	1
SRR13906491.bam	G1	1
SRR13906492.bam	S	1
SRR13906493.bam	G1	1
SRR13906494.bam	G1	1
SRR13906495.bam	G1	1
SRR13906497.bam	G1	3
SRR13906498.bam	G1	1
SRR13906499.bam	G1	1
SRR13906500.bam	G1	1
SRR13906501.bam	G1	2
SRR13906502.bam	G1	2
SRR13906503.bam	G1	1
SRR13906504.bam	G1	1
SRR13906505.bam	G1	3
SRR13906506.bam	G1	1
SRR13906507.bam	S	3
SRR13906508.bam	G1	1
SRR13906509.bam	G1	1
SRR13906510.bam	G1	2
SRR13906511.bam	G1	1
SRR13906512.bam	G1	1
SRR13906513.bam	G1	1
SRR13906514.bam	G1	1
SRR13906515.bam	G1	3
SRR13906516.bam	G1	3
SRR13906517.bam	G1	2
SRR13906518.bam	G1	1
SRR13906519.bam	G1	2
SRR13906521.bam	G1	1
SRR13906522.bam	G1	1
SRR13906523.bam	G1	3
SRR13906526.bam	S	3
SRR13906527.bam	G1	3
SRR13906528.bam	G1	1
SRR13906529.bam	G1	1
SRR13906531.bam	G1	1
SRR13906532.bam	S	2
SRR13906533.bam	S	1
SRR13906535.bam	G1	3
SRR13906536.bam	G1	1
SRR13906537.bam	G1	3
SRR13906538.bam	S	1
SRR13906539.bam	S	1
SRR13906540.bam	G1	3
SRR13906542.bam	G1	1
SRR13906543.bam	G1	2
SRR13906545.bam	G1	3
SRR13906546.bam	S	1
SRR13906548.bam	G1	2
SRR13906549.bam	S	2
SRR13906550.bam	G1	2
SRR13906551.bam	G1	3
SRR13906552.bam	G1	1
SRR13906553.bam	G1	1
SRR13906554.bam	G1	3
SRR13906555.bam	G1	2
SRR13906556.bam	G1	2
SRR13906558.bam	G1	2
SRR13906559.bam	G1	1
SRR13906560.bam	G1	1
SRR13906561.bam	G1	3
SRR13906562.bam	G1	3
SRR13906563.bam	G1	2
SRR13906564.bam	G1	2
SRR13906566.bam	G1	3
SRR13906567.bam	G1	1
SRR13906568.bam	G1	1
SRR13906570.bam	G1	2
SRR13906571.bam	G1	3
SRR13906572.bam	G1	1
SRR13906573.bam	G1	1
