Cell	Phase
SA1087-A96150A-R13-C50.bam	G1
SA1087-A96150A-R13-C51.bam	G1
SA1087-A96150A-R13-C54.bam	G1
SA1087-A96150A-R13-C56.bam	G1
SA1087-A96150A-R13-C57.bam	G1
SA1087-A96150A-R13-C60.bam	G1
SA1087-A96150A-R13-C61.bam	G1
SA1087-A96150A-R13-C64.bam	G1
SA1087-A96150A-R13-C66.bam	G1
SA1087-A96150A-R14-C07.bam	S
SA1087-A96150A-R14-C08.bam	G1
SA1087-A96150A-R14-C09.bam	G1
SA1087-A96150A-R14-C10.bam	S
SA1087-A96150A-R14-C11.bam	G1
SA1087-A96150A-R14-C12.bam	S
SA1087-A96150A-R14-C13.bam	G1
SA1087-A96150A-R14-C14.bam	G1
SA1087-A96150A-R14-C15.bam	G1
SA1087-A96150A-R14-C16.bam	G1
SA1087-A96150A-R14-C17.bam	S
SA1087-A96150A-R14-C18.bam	G1
SA1087-A96150A-R14-C19.bam	G1
SA1087-A96150A-R14-C20.bam	G1
SA1087-A96150A-R14-C21.bam	G1
SA1087-A96150A-R14-C22.bam	G1
SA1087-A96150A-R14-C23.bam	G1
SA1087-A96150A-R14-C24.bam	G1
SA1087-A96150A-R14-C25.bam	S
SA1087-A96150A-R14-C26.bam	S
SA1087-A96150A-R14-C27.bam	G1
SA1087-A96150A-R14-C28.bam	G1
SA1087-A96150A-R14-C30.bam	S
SA1087-A96150A-R14-C31.bam	S
SA1087-A96150A-R14-C32.bam	S
SA1087-A96150A-R14-C34.bam	G1
SA1087-A96150A-R14-C35.bam	G1
SA1087-A96150A-R14-C36.bam	G1
SA1087-A96150A-R14-C39.bam	G1
SA1087-A96150A-R14-C40.bam	S
SA1087-A96150A-R14-C42.bam	G1
SA1087-A96150A-R14-C43.bam	G1
SA1087-A96150A-R14-C44.bam	S
SA1087-A96150A-R14-C46.bam	G1
SA1087-A96150A-R14-C47.bam	S
SA1087-A96150A-R14-C48.bam	G1
SA1087-A96150A-R14-C49.bam	S
SA1087-A96150A-R14-C50.bam	G1
SA1087-A96150A-R14-C51.bam	G1
SA1087-A96150A-R14-C52.bam	G1
SA1087-A96150A-R14-C54.bam	G1
SA1087-A96150A-R14-C58.bam	G1
SA1087-A96150A-R14-C59.bam	S
SA1087-A96150A-R14-C60.bam	G1
SA1087-A96150A-R14-C61.bam	G1
SA1087-A96150A-R14-C63.bam	G1
SA1087-A96150A-R14-C64.bam	G1
SA1087-A96150A-R14-C66.bam	G1
SA1087-A96150A-R14-C67.bam	G1
