Cell	Subpopulation
SA039-A73047D-R63-C62	2
SA039-A73047D-R64-C10	1
SA039-A73047D-R64-C12	1
SA039-A73047D-R64-C15	2
SA039-A73047D-R64-C18	2
SA039-A73047D-R64-C19	1
SA039-A73047D-R64-C22	2
SA039-A73047D-R64-C23	1
SA039-A73047D-R64-C24	2
SA039-A73047D-R64-C25	1
SA039-A73047D-R64-C27	1
SA039-A73047D-R64-C36	1
SA039-A73047D-R64-C37	2
SA039-A73047D-R64-C38	1
SA039-A73047D-R64-C39	1
SA039-A73047D-R64-C41	1
SA039-A73047D-R64-C42	1
SA039-A73047D-R64-C47	2
SA039-A73047D-R64-C57	1
SA039-A73047D-R64-C60	1
SA039-A73047D-R64-C61	2
SA039-A73047D-R65-C09	1
SA039-A73047D-R65-C15	2
SA039-A73047D-R65-C25	2
SA039-A73047D-R65-C27	1
SA039-A73047D-R65-C29	2
SA039-A73047D-R65-C30	2
SA039-A73047D-R65-C32	2
SA039-A73047D-R65-C33	2
SA039-A73047D-R65-C34	2
SA039-A73047D-R65-C38	1
SA039-A73047D-R65-C40	1
SA039-A73047D-R65-C41	2
SA039-A73047D-R65-C46	1
SA039-A73047D-R65-C47	1
SA039-A73047D-R65-C49	2
SA039-A73047D-R65-C58	2
SA039-A73047D-R65-C59	1
SA039-A73047D-R65-C60	2
SA039-A73047D-R65-C61	1
SA039-A73047D-R65-C63	1
SA039-A73047D-R66-C07	2
SA039-A73047D-R66-C08	2
SA039-A73047D-R66-C16	2
SA039-A73047D-R66-C20	1
SA039-A73047D-R66-C25	1
SA039-A73047D-R66-C27	2
SA039-A73047D-R66-C34	2
SA039-A73047D-R66-C36	2
SA039-A73047D-R66-C39	1
SA039-A73047D-R66-C46	1
SA039-A73047D-R66-C47	2
SA039-A73047D-R66-C49	1
SA039-A73047D-R66-C50	1
SA039-A73047D-R66-C51	1
SA039-A73047D-R66-C56	2
SA039-A73047D-R66-C57	1
SA039-A73047D-R66-C58	2
SA039-A73047D-R66-C59	1
SA039-A73047D-R66-C66	1
SA039-A73047D-R67-C11	2
SA039-A73047D-R67-C12	2
SA039-A73047D-R67-C24	1
SA039-A73047D-R67-C26	2
SA039-A73047D-R67-C27	2
SA039-A73047D-R67-C28	1
SA039-A73047D-R67-C31	2
SA039-A73047D-R67-C40	2
SA039-A73047D-R67-C43	2
SA039-A73047D-R67-C46	1
SA039-A73047D-R67-C47	2
SA039-A73047D-R67-C58	1
SA039-A73047D-R67-C66	1
SA039-A73047D-R68-C27	1
SA039-A73047D-R68-C31	2
SA039-A73047D-R68-C34	2
SA039-A73047D-R68-C47	1
SA039-A73047D-R68-C57	1
SA039-A73047D-R68-C63	2
SA039-A73047D-R69-C15	1
SA039-A73047D-R69-C17	2
SA039-A73047D-R69-C25	1
SA039-A73047D-R69-C26	1
SA039-A73047D-R69-C29	1
SA039-A73047D-R69-C39	1
SA039-A73047D-R69-C47	1
SA039-A73047D-R69-C49	1
SA039-A73047D-R69-C54	1
SA039-A73047D-R69-C57	1
SA039-A73047D-R69-C64	1
SA039-A73047D-R70-C13	2
SA039-A73047D-R70-C14	2
SA039-A73047D-R70-C16	1
SA039-A73047D-R70-C18	1
SA039-A73047D-R70-C20	2
SA039-A73047D-R70-C42	1
SA039-A73047D-R70-C56	2
SA039-A73047D-R70-C58	1
SA039-A73047D-R70-C63	2
SA039-A73047D-R70-C64	2
SA039-A96199B-R40-C09	1
SA039-A96199B-R40-C12	1
SA039-A96199B-R40-C14	1
SA039-A96199B-R40-C16	1
SA039-A96199B-R40-C18	1
SA039-A96199B-R40-C19	1
SA039-A96199B-R40-C21	1
SA039-A96199B-R40-C26	1
SA039-A96199B-R40-C27	1
SA039-A96199B-R40-C31	1
SA039-A96199B-R40-C32	1
SA039-A96199B-R40-C34	1
SA039-A96199B-R40-C37	1
SA039-A96199B-R40-C41	1
SA039-A96199B-R40-C42	1
SA039-A96199B-R40-C46	1
SA039-A96199B-R40-C48	1
SA039-A96199B-R40-C49	1
SA039-A96199B-R40-C51	1
SA039-A96199B-R40-C53	1
SA039-A96199B-R40-C54	1
SA039-A96199B-R40-C60	1
SA039-A96199B-R40-C63	1
SA039-A96199B-R41-C07	1
SA039-A96199B-R41-C11	1
SA039-A96199B-R41-C13	1
SA039-A96199B-R41-C14	1
SA039-A96199B-R41-C16	1
SA039-A96199B-R41-C17	1
SA039-A96199B-R41-C18	1
SA039-A96199B-R41-C21	1
SA039-A96199B-R41-C22	1
SA039-A96199B-R41-C26	1
SA039-A96199B-R41-C29	1
SA039-A96199B-R41-C30	1
SA039-A96199B-R41-C33	1
SA039-A96199B-R41-C34	1
SA039-A96199B-R41-C35	1
SA039-A96199B-R41-C36	1
SA039-A96199B-R41-C37	1
SA039-A96199B-R41-C38	1
SA039-A96199B-R41-C41	1
SA039-A96199B-R41-C43	1
SA039-A96199B-R41-C45	1
SA039-A96199B-R41-C47	1
SA039-A96199B-R41-C49	1
SA039-A96199B-R41-C50	1
SA039-A96199B-R41-C51	1
SA039-A96199B-R41-C52	1
SA039-A96199B-R41-C54	1
SA039-A96199B-R41-C55	1
SA039-A96199B-R41-C61	1
SA039-A96199B-R41-C62	1
SA039-A96199B-R42-C08	1
SA039-A96199B-R42-C10	1
SA039-A96199B-R42-C14	1
SA039-A96199B-R42-C15	1
SA039-A96199B-R42-C17	1
SA039-A96199B-R42-C20	1
SA039-A96199B-R42-C30	1
SA039-A96199B-R42-C31	1
SA039-A96199B-R42-C32	1
SA039-A96199B-R42-C33	1
SA039-A96199B-R42-C34	1
SA039-A96199B-R42-C36	1
SA039-A96199B-R42-C40	1
SA039-A96199B-R42-C41	1
SA039-A96199B-R42-C44	1
SA039-A96199B-R42-C45	1
SA039-A96199B-R42-C48	1
SA039-A96199B-R42-C51	1
SA039-A96199B-R42-C53	1
SA039-A96199B-R42-C54	1
SA039-A96199B-R42-C56	1
SA039-A96199B-R42-C57	1
SA039-A96199B-R42-C60	1
SA039-A96199B-R42-C63	1
SA039-A96199B-R43-C13	1
SA039-A96199B-R43-C15	1
SA039-A96199B-R43-C16	1
SA039-A96199B-R43-C19	1
SA039-A96199B-R43-C20	1
SA039-A96199B-R43-C24	1
SA039-A96199B-R43-C25	1
SA039-A96199B-R43-C27	1
SA039-A96199B-R43-C29	1
SA039-A96199B-R43-C30	1
SA039-A96199B-R43-C31	1
SA039-A96199B-R43-C32	1
SA039-A96199B-R43-C36	1
SA039-A96199B-R43-C40	1
SA039-A96199B-R43-C42	1
SA039-A96199B-R43-C45	1
SA039-A96199B-R43-C46	1
SA039-A96199B-R43-C47	1
SA039-A96199B-R43-C50	1
SA039-A96199B-R43-C51	1
SA039-A96199B-R43-C52	1
SA039-A96199B-R43-C53	1
SA039-A96199B-R43-C54	1
SA039-A96199B-R43-C55	1
SA039-A96199B-R43-C61	1
SA039-A96199B-R43-C63	1
SA039-A96199B-R43-C64	1
SA039-A96199B-R44-C07	1
SA039-A96199B-R44-C08	1
SA039-A96199B-R44-C10	1
SA039-A96199B-R44-C15	1
SA039-A96199B-R44-C16	1
SA039-A96199B-R44-C18	1
SA039-A96199B-R44-C19	1
SA039-A96199B-R44-C23	1
SA039-A96199B-R44-C24	1
SA039-A96199B-R44-C28	1
SA039-A96199B-R44-C29	1
SA039-A96199B-R44-C31	1
SA039-A96199B-R44-C32	1
SA039-A96199B-R44-C33	1
SA039-A96199B-R44-C37	1
SA039-A96199B-R44-C38	1
SA039-A96199B-R44-C39	1
SA039-A96199B-R44-C43	1
SA039-A96199B-R44-C44	1
SA039-A96199B-R44-C46	1
SA039-A96199B-R44-C48	1
SA039-A96199B-R44-C49	1
SA039-A96199B-R44-C50	1
SA039-A96199B-R44-C52	1
SA039-A96199B-R44-C53	1
SA039-A96199B-R44-C54	1
SA039-A96199B-R44-C56	1
SA039-A96199B-R44-C57	1
SA039-A96199B-R44-C59	1
SA039-A96199B-R44-C63	1
SA039-A96199B-R44-C64	1
SA039-A96199B-R45-C08	1
SA039-A96199B-R45-C12	1
SA039-A96199B-R45-C14	1
SA039-A96199B-R45-C17	1
SA039-A96199B-R45-C20	1
SA039-A96199B-R45-C21	1
SA039-A96199B-R45-C23	1
SA039-A96199B-R45-C25	1
SA039-A96199B-R45-C31	1
SA039-A96199B-R45-C33	1
SA039-A96199B-R45-C34	1
SA039-A96199B-R45-C35	1
SA039-A96199B-R45-C39	1
SA039-A96199B-R45-C41	1
SA039-A96199B-R45-C44	1
SA039-A96199B-R45-C45	1
SA039-A96199B-R45-C48	1
SA039-A96199B-R45-C51	1
SA039-A96199B-R45-C54	1
SA039-A96199B-R45-C55	1
SA039-A96199B-R45-C57	1
SA039-A96199B-R45-C59	1
SA039-A96199B-R45-C60	1
SA039-A96199B-R45-C61	2
SA039-A96199B-R45-C63	1
SA039-A96199B-R46-C09	1
SA039-A96199B-R46-C10	1
SA039-A96199B-R46-C11	1
SA039-A96199B-R46-C14	1
SA039-A96199B-R46-C18	1
SA039-A96199B-R46-C19	1
SA039-A96199B-R46-C26	1
SA039-A96199B-R46-C28	1
SA039-A96199B-R46-C29	1
SA039-A96199B-R46-C31	1
SA039-A96199B-R46-C34	1
