Cell	Phase	Subpopulation
SA1044-A96139A-R17-C67.bam	G1	2
SA1044-A96139A-R17-C68.bam	G1	1
SA1044-A96139A-R17-C69.bam	G1	1
SA1044-A96139A-R17-C70.bam	G1	1
SA1044-A96139A-R18-C07.bam	G1	1
SA1044-A96139A-R18-C08.bam	G1	1
SA1044-A96139A-R18-C13.bam	G1	1
SA1044-A96139A-R18-C14.bam	G1	1
SA1044-A96139A-R18-C15.bam	G1	1
SA1044-A96139A-R18-C16.bam	G1	1
SA1044-A96139A-R18-C20.bam	G1	2
SA1044-A96139A-R18-C21.bam	S	1
SA1044-A96139A-R18-C35.bam	G1	1
SA1044-A96139A-R18-C43.bam	G1	1
SA1044-A96139A-R18-C44.bam	G1	1
SA1044-A96139A-R18-C48.bam	G1	1
SA1044-A96139A-R18-C52.bam	G1	1
SA1044-A96139A-R18-C55.bam	S	1
SA1044-A96139A-R18-C56.bam	G1	1
SA1044-A96139A-R18-C57.bam	G1	1
SA1044-A96139A-R18-C58.bam	G1	1
SA1044-A96139A-R18-C59.bam	G1	1
SA1044-A96139A-R18-C65.bam	G1	1
SA1044-A96139A-R18-C66.bam	G1	2
SA1044-A96139A-R18-C67.bam	G1	1
SA1044-A96139A-R18-C68.bam	G1	1
SA1044-A96139A-R18-C69.bam	G1	1
SA1044-A96139A-R18-C70.bam	S	1
SA1044-A96139A-R19-C08.bam	G1	1
SA1044-A96139A-R19-C12.bam	S	1
SA1044-A96139A-R19-C13.bam	G1	1
SA1044-A96139A-R19-C14.bam	G1	1
SA1044-A96139A-R19-C16.bam	G1	1
SA1044-A96139A-R19-C17.bam	G1	1
SA1044-A96139A-R19-C24.bam	S	1
SA1044-A96139A-R19-C26.bam	S	1
SA1044-A96139A-R19-C32.bam	S	1
SA1044-A96139A-R19-C43.bam	S	1
SA1044-A96139A-R20-C13.bam	G1	1
SA1044-A96139A-R20-C17.bam	G1	1
SA1044-A96139A-R20-C19.bam	G1	1
SA1044-A96139A-R20-C23.bam	S	1
SA1044-A96139A-R20-C24.bam	S	1
SA1044-A96139A-R20-C26.bam	S	1
SA1044-A96139A-R20-C32.bam	S	1
SA1044-A96139A-R20-C33.bam	G1	2
SA1044-A96139A-R20-C36.bam	G1	2
SA1044-A96139A-R20-C37.bam	G1	1
SA1044-A96139A-R20-C39.bam	G1	1
SA1044-A96139A-R20-C41.bam	G1	1
SA1044-A96139A-R20-C42.bam	G1	1
SA1044-A96139A-R20-C44.bam	G1	1
SA1044-A96139A-R20-C46.bam	S	1
SA1044-A96139A-R20-C48.bam	G1	1
SA1044-A96139A-R20-C49.bam	G1	1
SA1044-A96139A-R20-C52.bam	G1	1
SA1044-A96139A-R20-C55.bam	G1	1
SA1044-A96139A-R20-C56.bam	S	1
SA1044-A96139A-R20-C57.bam	G1	2
SA1044-A96139A-R20-C58.bam	G1	1
SA1044-A96139A-R20-C59.bam	G1	1
SA1044-A96139A-R20-C60.bam	G1	2
SA1044-A96139A-R20-C63.bam	G1	1
SA1044-A96139A-R20-C66.bam	G1	2
SA1044-A96139A-R20-C67.bam	G1	1
SA1044-A96139A-R20-C68.bam	S	1
SA1044-A96139A-R20-C69.bam	G1	1
SA1044-A96139A-R20-C70.bam	G1	1
SA1044-A96139A-R21-C07.bam	G1	1
SA1044-A96139A-R21-C11.bam	G1	1
SA1044-A96139A-R21-C13.bam	G1	1
SA1044-A96139A-R21-C16.bam	G1	1
SA1044-A96139A-R21-C17.bam	G1	1
SA1044-A96139A-R21-C23.bam	S	1
SA1044-A96139A-R21-C43.bam	G1	1
SA1044-A96139A-R21-C44.bam	S	2
SA1044-A96139A-R21-C46.bam	G1	1
SA1044-A96139A-R21-C50.bam	G1	2
SA1044-A96139A-R21-C51.bam	S	1
SA1044-A96139A-R21-C55.bam	G1	1
SA1044-A96139A-R21-C56.bam	G1	1
SA1044-A96139A-R21-C57.bam	G1	1
SA1044-A96139A-R21-C58.bam	S	1
SA1044-A96139A-R21-C59.bam	G1	1
SA1044-A96139A-R21-C63.bam	G1	1
SA1044-A96139A-R21-C64.bam	S	1
SA1044-A96139A-R22-C13.bam	G1	1
SA1044-A96139A-R22-C14.bam	G1	1
SA1044-A96139A-R22-C17.bam	G1	1
SA1044-A96139A-R22-C21.bam	G1	1
SA1044-A96139A-R22-C52.bam	G1	1
SA1044-A96139A-R22-C55.bam	G1	2
SA1044-A96139A-R22-C57.bam	G1	1
SA1044-A96139A-R22-C70.bam	S	2
SA1044-A96139A-R23-C25.bam	S	1
SA1044-A96139A-R23-C28.bam	G1	1
SA1044-A96139A-R23-C30.bam	S	1
SA1044-A96139A-R23-C40.bam	G1	1
SA1044-A96139A-R23-C43.bam	G1	1
SA1044-A96139A-R23-C46.bam	G1	2
SA1044-A96139A-R23-C47.bam	G1	1
