Cell	Phase	Subpopulation
SRR13909642.bam	S	1
SRR13909643.bam	S	1
SRR13909644.bam	S	1
SRR13909645.bam	S	1
SRR13909646.bam	S	1
SRR13909647.bam	S	1
SRR13909649.bam	S	1
SRR13909650.bam	G1	1
SRR13909651.bam	S	1
SRR13909654.bam	G1	1
SRR13909655.bam	G1	1
SRR13909656.bam	S	1
SRR13909657.bam	S	1
SRR13909659.bam	S	1
SRR13909660.bam	S	1
SRR13909661.bam	S	1
SRR13909662.bam	S	1
SRR13909663.bam	S	1
SRR13909664.bam	S	1
SRR13909665.bam	S	1
SRR13909666.bam	S	1
SRR13909667.bam	S	1
SRR13909669.bam	G1	1
SRR13909671.bam	G1	1
SRR13909672.bam	S	1
SRR13909673.bam	S	1
SRR13909674.bam	S	1
SRR13909675.bam	G1	1
SRR13909676.bam	S	1
SRR13909677.bam	G1	1
SRR13909678.bam	S	1
SRR13909680.bam	S	1
SRR13909681.bam	S	1
SRR13909682.bam	S	1
SRR13909683.bam	S	1
SRR13909684.bam	S	1
SRR13909685.bam	G1	1
SRR13909686.bam	S	1
SRR13909687.bam	S	1
SRR13909688.bam	S	1
SRR13909689.bam	S	1
SRR13909690.bam	S	1
SRR13909691.bam	S	1
SRR13909692.bam	S	1
SRR13909693.bam	S	1
SRR13909694.bam	S	1
SRR13909696.bam	S	1
SRR13909697.bam	S	1
SRR13909698.bam	G1	1
SRR13909699.bam	S	1
SRR13909700.bam	S	1
SRR13909701.bam	S	1
SRR13909702.bam	S	1
SRR13909703.bam	S	1
SRR13909704.bam	S	1
SRR13909705.bam	S	1
SRR13909706.bam	S	1
SRR13909707.bam	G1	1
SRR13909708.bam	S	1
SRR13909710.bam	S	1
SRR13909711.bam	S	1
SRR13909713.bam	G1	1
SRR13909714.bam	S	1
SRR13909716.bam	S	1
SRR13909719.bam	G1	1
SRR13909720.bam	S	1
SRR13909722.bam	G1	1
SRR13909723.bam	S	1
SRR13909724.bam	S	1
SRR13909725.bam	S	1
SRR13909726.bam	S	1
SRR13909727.bam	S	1
SRR13909729.bam	S	1
SRR13909731.bam	S	1
SRR13909732.bam	S	1
SRR13909733.bam	S	1
SRR13909734.bam	G1	1
SRR13909737.bam	S	1
SRR13909739.bam	S	1
SRR13909741.bam	S	1
SRR13909742.bam	S	1
SRR13909743.bam	G1	1
SRR13909744.bam	S	1
SRR13909745.bam	S	1
SRR13909746.bam	S	1
SRR13909747.bam	S	1
SRR13909748.bam	S	1
SRR13909749.bam	S	1
SRR13909750.bam	S	1
SRR13909752.bam	S	1
SRR13909753.bam	S	1
SRR13909754.bam	S	1
SRR13909755.bam	S	1
SRR13909758.bam	S	1
SRR13909759.bam	S	1
SRR13909760.bam	G1	1
SRR13909761.bam	S	1
SRR13909763.bam	S	1
SRR13909765.bam	S	1
SRR13909766.bam	S	1
SRR13909768.bam	S	1
SRR13909769.bam	S	1
SRR13909770.bam	S	1
SRR13909771.bam	S	1
SRR13909772.bam	G1	1
SRR13909773.bam	S	1
SRR13909774.bam	S	1
SRR13909775.bam	S	1
SRR13909776.bam	S	1
SRR13909777.bam	G1	1
SRR13909778.bam	S	1
SRR13909779.bam	S	1
SRR13909780.bam	G1	1
SRR13909781.bam	S	1
SRR13909783.bam	S	1
SRR13909784.bam	S	1
SRR13909785.bam	S	1
SRR13909786.bam	S	1
SRR13909787.bam	S	1
SRR13909788.bam	S	1
SRR13909789.bam	S	1
SRR13909791.bam	S	1
SRR13909792.bam	G1	1
SRR13909793.bam	S	1
SRR13909794.bam	S	1
SRR13909795.bam	S	1
SRR13909796.bam	S	1
SRR13909797.bam	G1	1
SRR13909798.bam	S	1
SRR13909799.bam	S	1
SRR13909800.bam	S	1
SRR13909802.bam	S	1
SRR13909803.bam	S	1
SRR13909804.bam	G1	1
SRR13909805.bam	S	1
SRR13909806.bam	S	1
SRR13909807.bam	G1	1
SRR13909808.bam	G1	1
SRR13909809.bam	S	1
SRR13909810.bam	S	1
SRR13909811.bam	S	1
SRR13909812.bam	S	1
SRR13909813.bam	S	1
SRR13909814.bam	S	1
SRR13909815.bam	S	1
SRR13909816.bam	S	1
SRR13909817.bam	S	1
SRR13909818.bam	G1	1
SRR13909819.bam	S	1
SRR13909820.bam	S	1
SRR13909821.bam	G1	1
SRR13909822.bam	G1	1
SRR13909824.bam	S	1
SRR13909825.bam	S	1
SRR13909826.bam	S	1
SRR13909827.bam	S	1
SRR13909828.bam	S	1
SRR13909829.bam	S	1
SRR13909830.bam	S	1
SRR13909831.bam	G1	1
SRR13909832.bam	S	1
SRR13909833.bam	S	1
SRR13909834.bam	S	1
SRR13909835.bam	S	1
SRR13909836.bam	S	1
SRR13909837.bam	S	1
SRR13909839.bam	S	1
SRR13909841.bam	S	1
SRR13909842.bam	S	1
SRR13909843.bam	S	1
SRR13909844.bam	S	1
SRR13909845.bam	S	1
SRR13909846.bam	S	1
SRR13909847.bam	S	1
SRR13909848.bam	S	1
SRR13909849.bam	S	1
SRR13909850.bam	S	1
SRR13909851.bam	S	1
SRR13909852.bam	S	1
SRR13909853.bam	S	1
SRR13909854.bam	S	1
SRR13909855.bam	S	1
SRR13909857.bam	S	1
SRR13909858.bam	S	1
SRR13909859.bam	S	1
SRR13909860.bam	S	1
SRR13909861.bam	G1	1
SRR13909863.bam	G1	1
SRR13909864.bam	G1	1
SRR13909865.bam	S	1
SRR13909866.bam	G1	1
SRR13909867.bam	S	1
SRR13909868.bam	S	1
SRR13909869.bam	S	1
SRR13909870.bam	S	1
SRR13909872.bam	S	1
SRR13909873.bam	G1	1
SRR13909874.bam	S	1
SRR13909875.bam	G1	1
SRR13909876.bam	S	1
SRR13909877.bam	S	1
SRR13909878.bam	S	1
SRR13909879.bam	S	1
SRR13909880.bam	S	1
SRR13909881.bam	S	1
SRR13909882.bam	S	1
SRR13909883.bam	S	1
SRR13909884.bam	G1	1
SRR13909886.bam	G1	1
SRR13909887.bam	G1	1
SRR13909888.bam	G1	1
SRR13909889.bam	S	1
SRR13909890.bam	G1	1
SRR13909891.bam	S	1
SRR13909892.bam	S	1
SRR13909893.bam	S	1
SRR13909894.bam	S	1
SRR13909895.bam	S	1
SRR13909896.bam	S	1
SRR13909897.bam	S	1
SRR13909898.bam	G1	1
SRR13909900.bam	S	1
SRR13909901.bam	S	1
SRR13909902.bam	S	1
SRR13909903.bam	S	1
SRR13909904.bam	G1	1
SRR13909905.bam	S	1
SRR13909906.bam	S	1
SRR13909907.bam	S	1
SRR13909908.bam	S	1
SRR13909909.bam	S	1
SRR13909910.bam	G1	1
SRR13909911.bam	G1	1
SRR13909912.bam	S	1
SRR13909913.bam	G1	1
SRR13909914.bam	S	1
