Cell	Phase
SA532X4XB00273-A95732B-R36-C55.bam	G1
SA532X4XB00273-A95732B-R36-C57.bam	G1
SA532X4XB00273-A95732B-R36-C60.bam	G1
SA532X4XB00273-A95732B-R36-C63.bam	G1
SA532X4XB00273-A95732B-R36-C64.bam	S
SA532X4XB00273-A95732B-R36-C66.bam	G1
SA532X4XB00273-A95732B-R36-C67.bam	G1
SA532X4XB00273-A95732B-R37-C07.bam	G1
SA532X4XB00273-A95732B-R37-C09.bam	G1
SA532X4XB00273-A95732B-R37-C11.bam	G1
SA532X4XB00273-A95732B-R37-C12.bam	G1
SA532X4XB00273-A95732B-R37-C13.bam	G1
SA532X4XB00273-A95732B-R37-C14.bam	G1
SA532X4XB00273-A95732B-R37-C15.bam	S
SA532X4XB00273-A95732B-R37-C16.bam	G1
SA532X4XB00273-A95732B-R37-C17.bam	G1
SA532X4XB00273-A95732B-R37-C19.bam	G1
SA532X4XB00273-A95732B-R37-C20.bam	G1
SA532X4XB00273-A95732B-R37-C22.bam	G1
SA532X4XB00273-A95732B-R37-C23.bam	G1
SA532X4XB00273-A95732B-R37-C25.bam	G1
SA532X4XB00273-A95732B-R37-C26.bam	G1
SA532X4XB00273-A95732B-R37-C27.bam	G1
SA532X4XB00273-A95732B-R37-C28.bam	G1
SA532X4XB00273-A95732B-R37-C29.bam	G1
SA532X4XB00273-A95732B-R37-C30.bam	G1
SA532X4XB00273-A95732B-R37-C31.bam	G1
SA532X4XB00273-A95732B-R37-C32.bam	G1
SA532X4XB00273-A95732B-R37-C35.bam	G1
SA532X4XB00273-A95732B-R37-C37.bam	G1
SA532X4XB00273-A95732B-R37-C39.bam	G1
SA532X4XB00273-A95732B-R37-C41.bam	S
SA532X4XB00273-A95732B-R37-C42.bam	G1
SA532X4XB00273-A95732B-R37-C44.bam	S
SA532X4XB00273-A95732B-R37-C47.bam	G1
SA532X4XB00273-A95732B-R37-C48.bam	G1
SA532X4XB00273-A95732B-R37-C49.bam	G1
SA532X4XB00273-A95732B-R37-C54.bam	G1
SA532X4XB00273-A95732B-R37-C55.bam	G1
SA532X4XB00273-A95732B-R37-C56.bam	G1
SA532X4XB00273-A95732B-R37-C57.bam	G1
SA532X4XB00273-A95732B-R37-C58.bam	G1
SA532X4XB00273-A95732B-R37-C59.bam	S
SA532X4XB00273-A95732B-R37-C60.bam	G1
SA532X4XB00273-A95732B-R37-C62.bam	G1
SA532X4XB00273-A95732B-R37-C66.bam	G1
SA532X4XB00273-A95732B-R37-C67.bam	S
SA532X4XB00273-A95732B-R37-C68.bam	G1
