Cell	Phase
SA906-A73046B-R44-C57.bam	G1
SA906-A73046B-R44-C59.bam	G1
SA906-A73046B-R44-C61.bam	G1
SA906-A73046B-R44-C63.bam	G1
SA906-A73046B-R44-C64.bam	G1
SA906-A73046B-R44-C66.bam	G1
SA906-A73046B-R44-C70.bam	S
SA906-A73046B-R45-C04.bam	G1
SA906-A73046B-R45-C09.bam	G1
SA906-A73046B-R45-C10.bam	S
SA906-A73046B-R45-C12.bam	G1
SA906-A73046B-R45-C14.bam	G1
SA906-A73046B-R45-C15.bam	G1
SA906-A73046B-R45-C16.bam	G1
SA906-A73046B-R45-C17.bam	G1
SA906-A73046B-R45-C18.bam	S
SA906-A73046B-R45-C20.bam	S
SA906-A73046B-R45-C22.bam	G1
SA906-A73046B-R45-C23.bam	G1
SA906-A73046B-R45-C24.bam	G1
SA906-A73046B-R45-C25.bam	G1
SA906-A73046B-R45-C26.bam	G1
SA906-A73046B-R45-C27.bam	G1
SA906-A73046B-R45-C28.bam	G1
SA906-A73046B-R45-C29.bam	G1
SA906-A73046B-R45-C30.bam	G1
SA906-A73046B-R45-C31.bam	G1
SA906-A73046B-R45-C32.bam	S
SA906-A73046B-R45-C34.bam	S
SA906-A73046B-R45-C35.bam	S
SA906-A73046B-R45-C39.bam	G1
SA906-A73046B-R45-C41.bam	G1
SA906-A73046B-R45-C42.bam	G1
SA906-A73046B-R45-C43.bam	S
SA906-A73046B-R45-C44.bam	G1
SA906-A73046B-R45-C45.bam	S
SA906-A73046B-R45-C47.bam	G1
SA906-A73046B-R45-C49.bam	G1
SA906-A73046B-R45-C51.bam	G1
SA906-A73046B-R45-C54.bam	G1
SA906-A73046B-R45-C55.bam	S
SA906-A73046B-R45-C57.bam	G1
SA906-A73046B-R45-C58.bam	G1
SA906-A73046B-R45-C60.bam	G1
SA906-A73046B-R45-C63.bam	S
SA906-A73046B-R45-C66.bam	S
SA906-A73046B-R45-C67.bam	G1
SA906-A73046B-R46-C04.bam	G1
SA906-A73046B-R46-C09.bam	G1
SA906-A73046B-R46-C11.bam	G1
SA906-A73046B-R46-C12.bam	S
SA906-A73046B-R46-C13.bam	G1
SA906-A73046B-R46-C14.bam	G1
SA906-A73046B-R46-C15.bam	G1
SA906-A73046B-R46-C17.bam	S
SA906-A73046B-R46-C18.bam	G1
SA906-A73046B-R46-C19.bam	G1
SA906-A73046B-R46-C20.bam	S
SA906-A73046B-R46-C21.bam	S
SA906-A73046B-R46-C22.bam	G1
SA906-A73046B-R46-C23.bam	G1
SA906-A73046B-R46-C25.bam	S
SA906-A73046B-R46-C26.bam	G1
SA906-A73046B-R46-C27.bam	G1
SA906-A73046B-R46-C28.bam	G1
SA906-A73046B-R46-C29.bam	G1
SA906-A73046B-R46-C30.bam	S
SA906-A73046B-R46-C31.bam	G1
SA906-A73046B-R46-C34.bam	G1
SA906-A73046B-R46-C35.bam	G1
SA906-A73046B-R46-C36.bam	S
SA906-A73046B-R46-C38.bam	G1
SA906-A73046B-R46-C39.bam	G1
SA906-A73046B-R46-C41.bam	G1
SA906-A73046B-R46-C42.bam	G1
SA906-A73046B-R46-C43.bam	G1
SA906-A73046B-R46-C44.bam	G1
SA906-A73046B-R46-C45.bam	G1
SA906-A73046B-R46-C46.bam	G1
SA906-A73046B-R46-C49.bam	G1
SA906-A73046B-R46-C50.bam	G1
SA906-A73046B-R46-C51.bam	G1
SA906-A73046B-R46-C52.bam	G1
SA906-A73046B-R46-C54.bam	G1
SA906-A73046B-R46-C55.bam	S
SA906-A73046B-R46-C56.bam	S
SA906-A73046B-R46-C57.bam	S
SA906-A73046B-R46-C59.bam	G1
SA906-A73046B-R46-C61.bam	S
SA906-A73046B-R46-C63.bam	G1
SA906-A73046B-R46-C64.bam	S
SA906-A73046B-R46-C66.bam	S
SA906-A73046B-R46-C67.bam	S
SA906-A73046B-R46-C69.bam	G1
