Cell	Phase
SA928-A73044A-R11-C57.bam	G1
SA928-A73044A-R11-C58.bam	G1
SA928-A73044A-R11-C59.bam	G1
SA928-A73044A-R11-C60.bam	G1
SA928-A73044A-R11-C61.bam	G1
SA928-A73044A-R11-C66.bam	G1
SA928-A73044A-R11-C67.bam	G1
SA928-A73044A-R11-C69.bam	G1
SA928-A73044A-R11-C70.bam	S
SA928-A73044A-R12-C03.bam	G1
SA928-A73044A-R12-C05.bam	G1
SA928-A73044A-R12-C06.bam	G1
SA928-A73044A-R12-C07.bam	G1
SA928-A73044A-R12-C08.bam	G1
SA928-A73044A-R12-C09.bam	G1
SA928-A73044A-R12-C10.bam	G1
SA928-A73044A-R12-C12.bam	G1
SA928-A73044A-R12-C13.bam	G1
SA928-A73044A-R12-C14.bam	S
SA928-A73044A-R12-C16.bam	G1
SA928-A73044A-R12-C17.bam	G1
SA928-A73044A-R12-C18.bam	G1
SA928-A73044A-R12-C19.bam	G1
SA928-A73044A-R12-C26.bam	G1
SA928-A73044A-R12-C29.bam	G1
SA928-A73044A-R12-C34.bam	G1
SA928-A73044A-R12-C37.bam	G1
SA928-A73044A-R12-C40.bam	S
SA928-A73044A-R12-C41.bam	S
SA928-A73044A-R12-C42.bam	S
SA928-A73044A-R12-C43.bam	S
SA928-A73044A-R12-C44.bam	S
SA928-A73044A-R12-C45.bam	S
SA928-A73044A-R12-C49.bam	G1
SA928-A73044A-R12-C50.bam	S
SA928-A73044A-R12-C51.bam	S
SA928-A73044A-R12-C52.bam	S
SA928-A73044A-R12-C57.bam	G1
SA928-A73044A-R12-C58.bam	G1
SA928-A73044A-R12-C60.bam	G1
SA928-A73044A-R12-C61.bam	G1
SA928-A73044A-R12-C67.bam	G1
SA928-A73044A-R12-C68.bam	S
SA928-A73044A-R12-C69.bam	G1
SA928-A73044A-R12-C70.bam	S
SA928-A73044A-R13-C03.bam	G1
SA928-A73044A-R13-C05.bam	G1
SA928-A73044A-R13-C06.bam	G1
SA928-A73044A-R13-C07.bam	G1
SA928-A73044A-R13-C08.bam	G1
SA928-A73044A-R13-C09.bam	G1
SA928-A73044A-R13-C10.bam	G1
SA928-A73044A-R13-C11.bam	G1
SA928-A73044A-R13-C12.bam	G1
SA928-A73044A-R13-C13.bam	G1
SA928-A73044A-R13-C14.bam	G1
SA928-A73044A-R13-C16.bam	G1
SA928-A73044A-R13-C17.bam	G1
SA928-A73044A-R13-C18.bam	G1
SA928-A73044A-R13-C19.bam	G1
SA928-A73044A-R13-C21.bam	G1
SA928-A73044A-R13-C24.bam	S
SA928-A73044A-R13-C25.bam	G1
SA928-A73044A-R13-C26.bam	G1
SA928-A73044A-R13-C27.bam	G1
SA928-A73044A-R13-C28.bam	S
SA928-A73044A-R13-C29.bam	G1
SA928-A73044A-R13-C30.bam	G1
SA928-A73044A-R13-C32.bam	G1
SA928-A73044A-R13-C33.bam	G1
SA928-A73044A-R13-C34.bam	G1
SA928-A73044A-R13-C35.bam	S
SA928-A73044A-R13-C37.bam	G1
SA928-A73044A-R13-C40.bam	S
SA928-A73044A-R13-C41.bam	S
SA928-A73044A-R13-C42.bam	S
SA928-A73044A-R13-C43.bam	S
SA928-A73044A-R13-C44.bam	S
SA928-A73044A-R13-C45.bam	G1
SA928-A73044A-R13-C48.bam	S
SA928-A73044A-R13-C50.bam	S
SA928-A73044A-R13-C51.bam	S
SA928-A73044A-R13-C52.bam	S
SA928-A73044A-R13-C56.bam	S
SA928-A73044A-R13-C58.bam	G1
SA928-A73044A-R13-C61.bam	G1
SA928-A73044A-R13-C64.bam	S
SA928-A73044A-R13-C66.bam	G1
