Cell	Subpopulation
SA906-A96180B-R40-C26	1
SA906-A96180B-R40-C27	1
SA906-A96180B-R40-C31	1
SA906-A96180B-R40-C36	1
SA906-A96180B-R40-C41	1
SA906-A96180B-R40-C44	1
SA906-A96180B-R40-C48	1
SA906-A96180B-R40-C49	1
SA906-A96180B-R40-C50	1
SA906-A96180B-R40-C51	1
SA906-A96180B-R40-C54	1
SA906-A96180B-R40-C56	1
SA906-A96180B-R40-C57	1
SA906-A96180B-R40-C59	1
SA906-A96180B-R40-C63	1
SA906-A96180B-R40-C65	1
SA906-A96180B-R40-C66	1
SA906-A96180B-R40-C67	1
SA906-A96180B-R40-C68	1
SA906-A96180B-R40-C70	1
SA906-A96180B-R41-C07	1
SA906-A96180B-R41-C08	1
SA906-A96180B-R41-C09	1
SA906-A96180B-R41-C13	1
SA906-A96180B-R41-C15	1
SA906-A96180B-R41-C19	1
SA906-A96180B-R41-C23	1
SA906-A96180B-R41-C25	1
SA906-A96180B-R41-C26	1
SA906-A96180B-R41-C29	1
SA906-A96180B-R41-C32	1
SA906-A96180B-R41-C34	1
SA906-A96180B-R41-C43	1
SA906-A96180B-R41-C44	1
SA906-A96180B-R41-C56	1
SA906-A96180B-R41-C58	1
SA906-A96180B-R41-C60	1
SA906-A96180B-R41-C63	1
SA906-A96180B-R41-C65	1
SA906-A96180B-R42-C10	1
SA906-A96180B-R42-C19	1
SA906-A96180B-R42-C20	1
SA906-A96180B-R42-C21	1
SA906-A96180B-R42-C22	1
SA906-A96180B-R42-C23	1
SA906-A96180B-R42-C31	1
SA906-A96180B-R42-C34	1
SA906-A96180B-R42-C38	1
SA906-A96180B-R42-C39	1
SA906-A96180B-R42-C43	1
SA906-A96180B-R42-C46	1
SA906-A96180B-R42-C49	1
SA906-A96180B-R42-C63	1
SA906-A96180B-R43-C11	1
SA906-A96180B-R43-C13	1
SA906-A96180B-R43-C14	1
SA906-A96180B-R43-C21	1
SA906-A96180B-R43-C24	1
SA906-A96180B-R43-C25	1
SA906-A96180B-R43-C26	1
SA906-A96180B-R43-C27	1
SA906-A96180B-R43-C35	1
SA906-A96180B-R43-C49	1
SA906-A96180B-R43-C56	1
SA906-A96180B-R43-C63	1
SA906-A96180B-R44-C08	1
SA906-A96180B-R44-C09	1
SA906-A96180B-R44-C11	1
SA906-A96180B-R44-C14	1
SA906-A96180B-R44-C18	1
SA906-A96180B-R44-C23	1
SA906-A96180B-R44-C24	1
SA906-A96180B-R44-C26	1
SA906-A96180B-R44-C32	1
SA906-A96180B-R44-C42	1
SA906-A96180B-R44-C48	1
SA906-A96180B-R44-C61	1
SA906-A96180B-R44-C62	1
SA906-A96180B-R44-C64	1
SA906-A96180B-R45-C20	1
SA906-A96180B-R45-C26	1
SA906-A96180B-R45-C39	1
SA906-A96180B-R45-C60	1
SA906-A96183C-R58-C68	1
SA906-A96183C-R61-C56	1
SA906-A96183C-R63-C12	1
SA906-A96183C-R64-C67	1
SA906-A96210C-R50-C10	1
SA906-A96210C-R50-C11	1
SA906-A96210C-R50-C26	1
SA906-A96210C-R50-C28	1
SA906-A96210C-R50-C29	1
SA906-A96210C-R50-C30	1
SA906-A96210C-R50-C32	1
SA906-A96210C-R50-C34	1
SA906-A96210C-R50-C35	1
SA906-A96210C-R50-C36	1
SA906-A96210C-R50-C37	1
SA906-A96210C-R50-C38	1
SA906-A96210C-R50-C39	1
SA906-A96210C-R50-C42	1
SA906-A96210C-R50-C43	1
SA906-A96210C-R50-C45	1
SA906-A96210C-R50-C49	1
SA906-A96210C-R50-C50	1
SA906-A96210C-R50-C55	1
SA906-A96210C-R50-C56	1
SA906-A96210C-R50-C60	1
SA906-A96210C-R50-C62	1
SA906-A96210C-R50-C65	1
SA906-A96210C-R50-C68	1
SA906-A96210C-R50-C70	1
SA906-A96210C-R51-C15	1
SA906-A96210C-R51-C20	1
SA906-A96210C-R51-C23	1
SA906-A96210C-R51-C32	1
SA906-A96210C-R51-C33	1
SA906-A96210C-R51-C34	1
SA906-A96210C-R51-C36	1
SA906-A96210C-R51-C37	1
SA906-A96210C-R51-C43	1
SA906-A96210C-R51-C44	1
SA906-A96210C-R51-C45	1
SA906-A96210C-R51-C47	1
SA906-A96210C-R51-C48	1
SA906-A96210C-R51-C51	1
SA906-A96210C-R51-C52	1
SA906-A96210C-R51-C53	1
SA906-A96210C-R51-C55	1
SA906-A96210C-R51-C59	1
SA906-A96210C-R51-C62	1
SA906-A96210C-R51-C63	1
SA906-A96210C-R51-C69	1
SA906-A96210C-R51-C70	1
SA906-A96210C-R52-C08	1
SA906-A96210C-R52-C10	1
SA906-A96210C-R52-C21	1
SA906-A96210C-R52-C22	1
SA906-A96210C-R52-C23	1
SA906-A96210C-R52-C26	1
SA906-A96210C-R52-C34	1
SA906-A96210C-R52-C36	1
SA906-A96210C-R52-C45	1
SA906-A96210C-R52-C50	1
SA906-A96210C-R52-C59	1
SA906-A96210C-R52-C64	1
SA906-A96210C-R52-C65	1
SA906-A96210C-R52-C67	1
SA906-A96210C-R52-C70	1
SA906-A96210C-R53-C26	1
SA906-A96210C-R53-C36	1
SA906-A96210C-R53-C45	1
SA906-A96210C-R53-C66	1
SA906-A96210C-R53-C68	1
SA906-A96210C-R54-C10	1
SA906-A96210C-R54-C20	1
SA906-A96210C-R54-C21	1
SA906-A96210C-R54-C26	1
SA906-A96210C-R54-C35	1
SA906-A96210C-R54-C36	1
SA906-A96210C-R54-C39	1
SA906-A96210C-R54-C40	1
SA906-A96210C-R54-C42	1
SA906-A96210C-R54-C45	1
SA906-A96210C-R54-C47	1
SA906-A96210C-R54-C49	1
SA906-A96210C-R54-C51	1
SA906-A96210C-R54-C53	1
SA906-A96210C-R54-C54	1
SA906-A96210C-R54-C55	1
SA906-A96210C-R54-C62	1
SA906-A96210C-R54-C69	1
SA906-A96210C-R55-C10	1
SA906-A96210C-R55-C11	1
SA906-A96210C-R55-C15	1
SA906-A96210C-R55-C17	1
SA906-A96210C-R55-C18	1
SA906-A96210C-R55-C19	1
SA906-A96210C-R55-C21	1
SA906-A96210C-R55-C25	1
SA906-A96210C-R55-C29	1
SA906-A96210C-R55-C30	1
SA906-A96210C-R55-C31	1
SA906-A96210C-R55-C34	1
SA906-A96210C-R55-C38	1
SA906-A96210C-R55-C39	1
SA906-A96210C-R55-C45	1
SA906-A96210C-R55-C46	1
SA906-A96210C-R55-C48	1
SA906-A96210C-R55-C53	1
SA906-A96210C-R55-C54	1
SA906-A96210C-R55-C59	1
SA906-A96210C-R55-C61	1
SA906-A96210C-R55-C62	1
SA906-A96210C-R55-C63	1
SA906-A96210C-R55-C64	1
SA906-A96210C-R55-C66	1
SA906-A96210C-R55-C67	1
SA906-A96210C-R55-C69	1
SA906-A96210C-R55-C70	1
SA906-A96210C-R56-C10	1
SA906-A96210C-R56-C11	1
