Cell	Phase
SA1089-A96156B-R30-C66.bam	G1
SA1089-A96156B-R30-C67.bam	G1
SA1089-A96156B-R30-C68.bam	G1
SA1089-A96156B-R30-C69.bam	G1
SA1089-A96156B-R31-C13.bam	G1
SA1089-A96156B-R31-C15.bam	G1
SA1089-A96156B-R31-C17.bam	G1
SA1089-A96156B-R31-C22.bam	S
SA1089-A96156B-R31-C23.bam	G1
SA1089-A96156B-R31-C26.bam	G1
SA1089-A96156B-R31-C27.bam	G1
SA1089-A96156B-R31-C28.bam	G1
SA1089-A96156B-R31-C29.bam	G1
SA1089-A96156B-R31-C30.bam	G1
SA1089-A96156B-R31-C31.bam	G1
SA1089-A96156B-R31-C32.bam	G1
SA1089-A96156B-R31-C35.bam	G1
SA1089-A96156B-R31-C36.bam	G1
SA1089-A96156B-R31-C37.bam	G1
SA1089-A96156B-R31-C39.bam	G1
SA1089-A96156B-R31-C40.bam	G1
SA1089-A96156B-R31-C41.bam	G1
SA1089-A96156B-R31-C42.bam	G1
SA1089-A96156B-R31-C43.bam	G1
SA1089-A96156B-R31-C44.bam	G1
SA1089-A96156B-R31-C46.bam	G1
SA1089-A96156B-R31-C47.bam	G1
SA1089-A96156B-R31-C48.bam	G1
SA1089-A96156B-R31-C49.bam	G1
SA1089-A96156B-R31-C51.bam	G1
SA1089-A96156B-R31-C52.bam	G1
SA1089-A96156B-R31-C54.bam	G1
SA1089-A96156B-R31-C55.bam	G1
SA1089-A96156B-R31-C56.bam	G1
SA1089-A96156B-R31-C58.bam	G1
SA1089-A96156B-R31-C59.bam	G1
SA1089-A96156B-R31-C60.bam	G1
SA1089-A96156B-R31-C61.bam	G1
SA1089-A96156B-R31-C63.bam	G1
SA1089-A96156B-R31-C64.bam	G1
SA1089-A96156B-R31-C66.bam	G1
SA1089-A96156B-R31-C67.bam	G1
SA1089-A96156B-R31-C68.bam	G1
SA1089-A96156B-R31-C69.bam	G1
SA1089-A96156B-R31-C70.bam	G1
