Cell	Phase	Subpopulation
SA1101-A96193B-R33-C20.bam	G1	1
SA1101-A96193B-R33-C21.bam	G1	1
SA1101-A96193B-R33-C22.bam	S	1
SA1101-A96193B-R33-C24.bam	S	1
SA1101-A96193B-R33-C25.bam	S	1
SA1101-A96193B-R33-C26.bam	S	1
SA1101-A96193B-R33-C27.bam	S	1
SA1101-A96193B-R33-C29.bam	S	1
SA1101-A96193B-R33-C30.bam	G1	1
SA1101-A96193B-R33-C31.bam	G1	2
SA1101-A96193B-R33-C36.bam	G1	1
SA1101-A96193B-R33-C39.bam	S	1
SA1101-A96193B-R33-C40.bam	S	1
SA1101-A96193B-R33-C41.bam	G1	1
SA1101-A96193B-R33-C42.bam	G1	1
SA1101-A96193B-R33-C43.bam	S	1
SA1101-A96193B-R33-C44.bam	S	1
SA1101-A96193B-R33-C45.bam	G1	1
SA1101-A96193B-R33-C46.bam	G1	1
SA1101-A96193B-R33-C47.bam	S	1
SA1101-A96193B-R33-C50.bam	S	1
SA1101-A96193B-R33-C54.bam	G1	2
SA1101-A96193B-R33-C55.bam	G1	1
SA1101-A96193B-R33-C56.bam	S	1
SA1101-A96193B-R33-C57.bam	G1	1
SA1101-A96193B-R33-C59.bam	S	1
SA1101-A96193B-R33-C60.bam	G1	1
SA1101-A96193B-R33-C61.bam	G1	1
SA1101-A96193B-R33-C62.bam	S	1
SA1101-A96193B-R33-C63.bam	S	1
SA1101-A96193B-R34-C07.bam	G1	1
SA1101-A96193B-R34-C08.bam	G1	1
SA1101-A96193B-R34-C09.bam	G1	1
SA1101-A96193B-R34-C11.bam	S	1
SA1101-A96193B-R34-C13.bam	G1	1
SA1101-A96193B-R34-C14.bam	G1	2
SA1101-A96193B-R34-C16.bam	S	1
SA1101-A96193B-R34-C17.bam	S	1
SA1101-A96193B-R34-C18.bam	S	1
SA1101-A96193B-R34-C20.bam	S	1
SA1101-A96193B-R34-C21.bam	S	1
SA1101-A96193B-R34-C22.bam	G1	1
SA1101-A96193B-R34-C23.bam	G1	1
SA1101-A96193B-R34-C24.bam	S	1
SA1101-A96193B-R34-C25.bam	G1	1
SA1101-A96193B-R34-C27.bam	S	1
SA1101-A96193B-R34-C28.bam	S	1
SA1101-A96193B-R34-C29.bam	G1	1
SA1101-A96193B-R34-C30.bam	G1	1
SA1101-A96193B-R34-C31.bam	G1	1
SA1101-A96193B-R34-C32.bam	G1	1
SA1101-A96193B-R34-C34.bam	S	1
