Cell	Phase	Subpopulation
SA1088-A96156A-R14-C50.bam	G1	2
SA1088-A96156A-R14-C54.bam	G1	2
SA1088-A96156A-R14-C55.bam	G1	2
SA1088-A96156A-R14-C58.bam	G1	2
SA1088-A96156A-R14-C60.bam	G1	1
SA1088-A96156A-R14-C68.bam	G1	1
SA1088-A96156A-R14-C70.bam	G1	2
SA1088-A96156A-R15-C12.bam	G1	2
SA1088-A96156A-R15-C15.bam	G1	2
SA1088-A96156A-R15-C21.bam	G1	2
SA1088-A96156A-R15-C28.bam	G1	1
SA1088-A96156A-R15-C29.bam	G1	2
SA1088-A96156A-R15-C30.bam	G1	1
SA1088-A96156A-R15-C32.bam	G1	2
SA1088-A96156A-R15-C37.bam	G1	2
SA1088-A96156A-R15-C43.bam	G1	2
SA1088-A96156A-R15-C44.bam	G1	2
SA1088-A96156A-R15-C51.bam	G1	2
SA1088-A96156A-R15-C56.bam	G1	2
SA1088-A96156A-R15-C60.bam	G1	2
SA1088-A96156A-R15-C61.bam	G1	1
SA1088-A96156A-R15-C64.bam	G1	1
SA1088-A96156A-R15-C66.bam	G1	2
SA1088-A96156A-R15-C67.bam	G1	2
SA1088-A96156A-R16-C07.bam	G1	1
SA1088-A96156A-R16-C08.bam	G1	2
SA1088-A96156A-R16-C13.bam	G1	2
SA1088-A96156A-R16-C14.bam	G1	2
SA1088-A96156A-R16-C15.bam	G1	1
SA1088-A96156A-R16-C16.bam	G1	2
SA1088-A96156A-R16-C20.bam	G1	2
SA1088-A96156A-R16-C21.bam	G1	2
SA1088-A96156A-R16-C23.bam	G1	2
SA1088-A96156A-R16-C24.bam	G1	2
SA1088-A96156A-R16-C26.bam	G1	2
SA1088-A96156A-R16-C27.bam	G1	1
SA1088-A96156A-R16-C29.bam	G1	2
SA1088-A96156A-R16-C31.bam	S	2
SA1088-A96156A-R16-C35.bam	G1	2
SA1088-A96156A-R16-C43.bam	G1	1
SA1088-A96156A-R16-C44.bam	G1	1
SA1088-A96156A-R16-C56.bam	G1	2
SA1088-A96156A-R16-C60.bam	G1	2
SA1088-A96156A-R16-C63.bam	G1	2
SA1088-A96156A-R16-C68.bam	G1	2
SA1088-A96156A-R18-C14.bam	G1	2
SA1088-A96156A-R18-C21.bam	G1	2
SA1088-A96156A-R18-C24.bam	G1	2
SA1088-A96156A-R18-C28.bam	G1	1
SA1088-A96156A-R18-C35.bam	G1	1
SA1088-A96156A-R18-C37.bam	G1	2
SA1088-A96156A-R18-C39.bam	G1	2
